airport_name,airport_code,flights,run_id,load_timestamp,source,Latitude,Longitude
Chongqing,CKG,424,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,29.719200134277344,106.64199829101562
Barcelona,BCN,423,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,41.2971,2.07846
Miami,MIA,411,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,25.79319953918457,-80.29060363769531
Hong Kong,HKG,397,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,22.308901,113.915001
Bogota,BOG,396,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,4.70159,-74.1469
Hangzhou,HGH,395,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,30.22949981689453,120.43399810791016
Athens,ATH,388,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,37.9364013672,23.9444999695
Orlando,MCO,378,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,28.429399490356445,-81.30899810791016
Las Vegas,LAS,376,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,36.08010101,-115.1520004
Philadelphia,PHL,371,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,39.87189865112305,-75.24109649658203
Shanghai,SHA,365,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,31.197900772094727,121.33599853515624
Munich,MUC,362,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,48.353802,11.7861
Dublin,DUB,362,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,53.421299,-6.27007
New York,LGA,358,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,40.77719879,-73.87259674
Bombay,BOM,357,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,19.0886993408,72.8678970337
Palma De Mallorca,PMI,354,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,39.551700592,2.73881006241
Sydney,SYD,350,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,-33.94609832763672,151.177001953125
Moscow,SVO,344,248fb32d-30db-476d-a229-e20aa0e5dfcc,2026-06-30 08:57:33,https://www.flightsfrom.com/top-100-airports,55.972599,37.4146
