Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database timezone,Type,Source,run_id,load_timestamp,source
Shepparton Airport,Shepparton,Australia,SHT,YSHT,-36.42890167236328,145.39300537109375,374,10,O,Australia/Hobart,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Temora Airport,Temora,Australia,TEM,YTEM,-34.4213981628418,147.51199340820312,921,10,O,Australia/Sydney,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Gayndah Airport,Gayndah,Australia,GAH,YGAY,-25.61440086364746,151.61900329589844,369,10,N,Australia/Brisbane,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Wilcannia Airport,Wilcannia,Australia,WIO,YWCA,-31.52639961242676,143.375,250,10,O,Australia/Sydney,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Ivanhoe Airport,Ivanhoe,Australia,\N,YIVO,-32.88330078125,144.30999755859375,330,10,O,Australia/Sydney,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Menindee Airport,Menindee,Australia,\N,YMED,-32.36669921875,142.40499877929688,0,10,O,Australia/Sydney,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Pooncarie Airport,Pooncarie,Australia,\N,YPCE,-33.36669921875,142.58799743652344,50,10,O,Australia/Sydney,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Tilpa Airport,Tilpa,Australia,\N,YTLP,-30.933300018310547,144.41700744628906,0,10,O,Australia/Sydney,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Reichenbach Air Base,Reichenbach im Kandertal,Switzerland,\N,LSGR,46.61360168457031,7.6777801513671875,2385,1,E,Europe/Zurich,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Bijie Feixiong Airport,Bijie,China,BFJ,ZUBJ,27.267066,105.472097,4751,8,N,Asia/Shanghai,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Lensk Airport,Lensk,Russia,ULK,UERL,60.7206001282,114.825996399,801,9,N,Asia/Yakutsk,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Kavalerovo Airport,Kavalerovo,Russia,KVR,UHWK,44.2726,135.029,730,10,N,Asia/Vladivostok,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Iğdır Airport,Igdir,Turkey,IGD,LTCT,39.9766273499,43.8766479492,3101,3,E,Europe/Istanbul,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Şanlıurfa GAP Airport,Sanliurfa,Turkey,GNY,LTCS,37.445663,38.895592,2708,3,E,Europe/Istanbul,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Zafer Airport,Kutahya,Turkey,KZR,LTBZ,39.113079,30.128111,3327,3,E,Europe/Istanbul,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Velikiye Luki Airport,Velikiye Luki,Russia,VLU,ULOL,56.38109970092773,30.60810089111328,328,3,N,Europe/Moscow,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Yelahanka Air Force Station,Bangalore,India,\N,VOYK,13.135499954223633,77.60600280761719,3045,5.5,N,Asia/Calcutta,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
